[2025-11-19T06:55:38.760+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-19T06:56:21.807+0000] {subprocess.py:93} INFO - Added amber-202001-0015
[2025-11-19T06:56:21.807+0000] {subprocess.py:93} INFO - Added amber-202001-0018
[2025-11-19T06:56:21.808+0000] {subprocess.py:93} INFO - Added amber-202001-0016
[2025-11-19T06:56:21.808+0000] {subprocess.py:93} INFO - Added amber-202001-0020
[2025-11-19T06:56:21.808+0000] {subprocess.py:93} INFO - Added amber-202001-0021
[2025-11-19T06:56:21.809+0000] {subprocess.py:93} INFO - Added amber-202001-0024
[2025-11-19T06:56:21.809+0000] {subprocess.py:93} INFO - Added amber-202001-0025
[2025-11-19T06:56:21.810+0000] {subprocess.py:93} INFO - Added amber-202001-0026
[2025-11-19T06:56:21.810+0000] {subprocess.py:93} INFO - Added amber-202001-0027
[2025-11-19T06:56:21.811+0000] {subprocess.py:93} INFO - Added amber-202001-0028
[2025-11-19T06:56:21.811+0000] {subprocess.py:93} INFO - Added amber-202001-0029
[2025-11-19T06:56:21.812+0000] {subprocess.py:93} INFO - Added amber-202001-0054
[2025-11-19T06:56:21.812+0000] {subprocess.py:93} INFO - Added amber-202001-0060
[2025-11-19T06:56:21.813+0000] {subprocess.py:93} INFO - Added amber-202001-0073
[2025-11-19T06:56:21.813+0000] {subprocess.py:93} INFO - Added amber-202001-0030
[2025-11-19T06:56:21.813+0000] {subprocess.py:93} INFO - Added amber-202001-0033
[2025-11-19T06:56:21.814+0000] {subprocess.py:93} INFO - Added amber-202001-0031
[2025-11-19T06:56:21.814+0000] {subprocess.py:93} INFO - Added amber-202001-0034
[2025-11-19T06:56:21.814+0000] {subprocess.py:93} INFO - Added amber-202001-0032
[2025-11-19T06:56:21.815+0000] {subprocess.py:93} INFO - Added amber-202001-0036
[2025-11-19T06:56:21.815+0000] {subprocess.py:93} INFO - Added amber-202001-0040
[2025-11-19T06:56:21.816+0000] {subprocess.py:93} INFO - Added amber-202001-0037
[2025-11-19T06:56:21.816+0000] {subprocess.py:93} INFO - Added amber-202001-0038
[2025-11-19T06:56:21.817+0000] {subprocess.py:93} INFO - Added amber-202001-0039
[2025-11-19T06:56:21.817+0000] {subprocess.py:93} INFO - Added amber-202001-0046
[2025-11-19T06:56:21.818+0000] {subprocess.py:93} INFO - Added amber-202001-0041
[2025-11-19T06:56:21.818+0000] {subprocess.py:93} INFO - Added amber-202001-0042
[2025-11-19T06:56:21.819+0000] {subprocess.py:93} INFO - Added amber-202001-0043
[2025-11-19T06:56:21.819+0000] {subprocess.py:93} INFO - Added amber-202001-0044
[2025-11-19T06:56:21.819+0000] {subprocess.py:93} INFO - Added amber-202001-0045
[2025-11-19T06:56:21.820+0000] {subprocess.py:93} INFO - Added amber-202001-0048
[2025-11-19T06:56:21.820+0000] {subprocess.py:93} INFO - Added amber-202001-0050
[2025-11-19T06:56:21.820+0000] {subprocess.py:93} INFO - Added amber-202001-0051
[2025-11-19T06:56:21.821+0000] {subprocess.py:93} INFO - Added amber-202001-0052
[2025-11-19T06:56:21.821+0000] {subprocess.py:93} INFO - Added amber-202001-0047
[2025-11-19T06:56:21.821+0000] {subprocess.py:93} INFO - Added amber-202001-0049
[2025-11-19T06:56:21.822+0000] {subprocess.py:93} INFO - Added amber-202001-0070
[2025-11-19T06:56:21.822+0000] {subprocess.py:93} INFO - Added amber-202001-0053
[2025-11-19T06:56:21.823+0000] {subprocess.py:93} INFO - Added amber-202001-0062
[2025-11-19T06:56:21.824+0000] {subprocess.py:93} INFO - Added amber-202001-0080
[2025-11-19T06:56:21.824+0000] {subprocess.py:93} INFO - Added amber-202001-0056
[2025-11-19T06:56:21.824+0000] {subprocess.py:93} INFO - Added amber-202001-0058
[2025-11-19T06:56:21.825+0000] {subprocess.py:93} INFO - Added amber-202001-0109
[2025-11-19T06:56:21.825+0000] {subprocess.py:93} INFO - Added amber-202001-0059
[2025-11-19T06:56:21.826+0000] {subprocess.py:93} INFO - Added amber-202001-0061
[2025-11-19T06:56:21.826+0000] {subprocess.py:93} INFO - Added amber-202001-0063
[2025-11-19T06:56:21.826+0000] {subprocess.py:93} INFO - Added amber-202001-0064
[2025-11-19T06:56:21.827+0000] {subprocess.py:93} INFO - Added amber-202001-0065
[2025-11-19T06:56:21.827+0000] {subprocess.py:93} INFO - Added amber-202001-0075
[2025-11-19T06:56:21.827+0000] {subprocess.py:93} INFO - Added amber-202001-0079
[2025-11-19T06:56:21.828+0000] {subprocess.py:93} INFO - Added amber-202001-0074
[2025-11-19T06:56:21.828+0000] {subprocess.py:93} INFO - Added amber-202001-0066
[2025-11-19T06:56:21.829+0000] {subprocess.py:93} INFO - Added amber-202001-0067
[2025-11-19T06:56:21.830+0000] {subprocess.py:93} INFO - Added amber-202001-0069
[2025-11-19T06:56:21.830+0000] {subprocess.py:93} INFO - Added amber-202001-0072
[2025-11-19T06:56:21.831+0000] {subprocess.py:93} INFO - Added amber-202001-0098
[2025-11-19T06:56:21.832+0000] {subprocess.py:93} INFO - Added amber-202001-0117
[2025-11-19T06:56:21.832+0000] {subprocess.py:93} INFO - Added amber-202001-0068
[2025-11-19T06:56:21.833+0000] {subprocess.py:93} INFO - Added amber-202001-0071
[2025-11-19T06:56:21.833+0000] {subprocess.py:93} INFO - Added amber-202001-0076
[2025-11-19T06:56:21.834+0000] {subprocess.py:93} INFO - Added amber-202001-0077
[2025-11-19T06:56:21.834+0000] {subprocess.py:93} INFO - Added amber-202001-0078
[2025-11-19T06:56:21.835+0000] {subprocess.py:93} INFO - Added amber-202001-0082
[2025-11-19T06:56:21.835+0000] {subprocess.py:93} INFO - Added amber-202001-0081
