[2025-11-14T06:55:03.299+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-14T06:55:27.429+0000] {subprocess.py:93} INFO - Added amber-202001-0031
[2025-11-14T06:55:27.429+0000] {subprocess.py:93} INFO - Added amber-202001-0034
[2025-11-14T06:55:27.429+0000] {subprocess.py:93} INFO - Added amber-202001-0032
[2025-11-14T06:55:27.429+0000] {subprocess.py:93} INFO - Added amber-202001-0036
[2025-11-14T06:55:27.430+0000] {subprocess.py:93} INFO - Added amber-202001-0040
[2025-11-14T06:55:27.430+0000] {subprocess.py:93} INFO - Added amber-202001-0037
[2025-11-14T06:55:27.430+0000] {subprocess.py:93} INFO - Added amber-202001-0038
[2025-11-14T06:55:27.430+0000] {subprocess.py:93} INFO - Added amber-202001-0039
[2025-11-14T06:55:27.430+0000] {subprocess.py:93} INFO - Added amber-202001-0046
[2025-11-14T06:55:27.430+0000] {subprocess.py:93} INFO - Added amber-202001-0041
[2025-11-14T06:55:27.431+0000] {subprocess.py:93} INFO - Added amber-202001-0042
[2025-11-14T06:55:27.431+0000] {subprocess.py:93} INFO - Added amber-202001-0043
[2025-11-14T06:55:27.431+0000] {subprocess.py:93} INFO - Added amber-202001-0044
[2025-11-14T06:55:27.431+0000] {subprocess.py:93} INFO - Added amber-202001-0045
[2025-11-14T06:55:27.432+0000] {subprocess.py:93} INFO - Added amber-202001-0048
[2025-11-14T06:55:27.432+0000] {subprocess.py:93} INFO - Added amber-202001-0050
[2025-11-14T06:55:27.432+0000] {subprocess.py:93} INFO - Added amber-202001-0051
[2025-11-14T06:55:27.433+0000] {subprocess.py:93} INFO - Added amber-202001-0052
[2025-11-14T06:55:27.433+0000] {subprocess.py:93} INFO - Added amber-202001-0047
[2025-11-14T06:55:27.433+0000] {subprocess.py:93} INFO - Added amber-202001-0049
[2025-11-14T06:55:27.433+0000] {subprocess.py:93} INFO - Added amber-202001-0070
[2025-11-14T06:55:27.433+0000] {subprocess.py:93} INFO - Added amber-202001-0053
[2025-11-14T06:55:27.434+0000] {subprocess.py:93} INFO - Added amber-202001-0062
[2025-11-14T06:55:27.434+0000] {subprocess.py:93} INFO - Added amber-202001-0080
[2025-11-14T06:55:27.434+0000] {subprocess.py:93} INFO - Added amber-202001-0056
[2025-11-14T06:55:27.434+0000] {subprocess.py:93} INFO - Added amber-202001-0058
[2025-11-14T06:55:27.434+0000] {subprocess.py:93} INFO - Added amber-202001-0109
[2025-11-14T06:55:27.435+0000] {subprocess.py:93} INFO - Added amber-202001-0059
[2025-11-14T06:55:27.435+0000] {subprocess.py:93} INFO - Added amber-202001-0061
[2025-11-14T06:55:27.435+0000] {subprocess.py:93} INFO - Added amber-202001-0063
[2025-11-14T06:55:27.435+0000] {subprocess.py:93} INFO - Added amber-202001-0064
[2025-11-14T06:55:27.435+0000] {subprocess.py:93} INFO - Added amber-202001-0065
[2025-11-14T06:55:27.436+0000] {subprocess.py:93} INFO - Added amber-202001-0075
[2025-11-14T06:55:27.436+0000] {subprocess.py:93} INFO - Added amber-202001-0079
[2025-11-14T06:55:27.437+0000] {subprocess.py:93} INFO - Added amber-202001-0074
[2025-11-14T06:55:27.437+0000] {subprocess.py:93} INFO - Added amber-202001-0066
[2025-11-14T06:55:27.438+0000] {subprocess.py:93} INFO - Added amber-202001-0067
[2025-11-14T06:55:27.438+0000] {subprocess.py:93} INFO - Added amber-202001-0069
[2025-11-14T06:55:27.438+0000] {subprocess.py:93} INFO - Added amber-202001-0072
[2025-11-14T06:55:27.439+0000] {subprocess.py:93} INFO - Added amber-202001-0098
[2025-11-14T06:55:27.439+0000] {subprocess.py:93} INFO - Added amber-202001-0117
[2025-11-14T06:55:27.439+0000] {subprocess.py:93} INFO - Added amber-202001-0068
[2025-11-14T06:55:27.439+0000] {subprocess.py:93} INFO - Added amber-202001-0071
[2025-11-14T06:55:27.440+0000] {subprocess.py:93} INFO - Added amber-202001-0076
[2025-11-14T06:55:27.440+0000] {subprocess.py:93} INFO - Added amber-202001-0077
[2025-11-14T06:55:27.440+0000] {subprocess.py:93} INFO - Added amber-202001-0078
[2025-11-14T06:55:27.440+0000] {subprocess.py:93} INFO - Added amber-202001-0082
[2025-11-14T06:55:27.441+0000] {subprocess.py:93} INFO - Added amber-202001-0081
[2025-11-14T06:55:27.441+0000] {subprocess.py:93} INFO - Added amber-202001-0083
[2025-11-14T06:55:27.441+0000] {subprocess.py:93} INFO - Added amber-202001-0084
[2025-11-14T06:55:27.441+0000] {subprocess.py:93} INFO - Added amber-202001-0088
[2025-11-14T06:55:27.442+0000] {subprocess.py:93} INFO - Added amber-202001-0094
[2025-11-14T06:55:27.442+0000] {subprocess.py:93} INFO - Added amber-202001-0108
[2025-11-14T06:55:27.442+0000] {subprocess.py:93} INFO - Added amber-202001-0111
[2025-11-14T06:55:27.442+0000] {subprocess.py:93} INFO - Added amber-202001-0085
[2025-11-14T06:55:27.443+0000] {subprocess.py:93} INFO - Added amber-202001-0086
[2025-11-14T06:55:27.443+0000] {subprocess.py:93} INFO - Added amber-202001-0089
