[2025-11-14T07:46:29.332+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-14T07:46:53.343+0000] {subprocess.py:93} INFO - Added amber-202001-0031
[2025-11-14T07:46:53.343+0000] {subprocess.py:93} INFO - Added amber-202001-0034
[2025-11-14T07:46:53.343+0000] {subprocess.py:93} INFO - Added amber-202001-0032
[2025-11-14T07:46:53.344+0000] {subprocess.py:93} INFO - Added amber-202001-0036
[2025-11-14T07:46:53.344+0000] {subprocess.py:93} INFO - Added amber-202001-0040
[2025-11-14T07:46:53.345+0000] {subprocess.py:93} INFO - Added amber-202001-0037
[2025-11-14T07:46:53.345+0000] {subprocess.py:93} INFO - Added amber-202001-0038
[2025-11-14T07:46:53.346+0000] {subprocess.py:93} INFO - Added amber-202001-0039
[2025-11-14T07:46:53.346+0000] {subprocess.py:93} INFO - Added amber-202001-0046
[2025-11-14T07:46:53.347+0000] {subprocess.py:93} INFO - Added amber-202001-0041
[2025-11-14T07:46:53.347+0000] {subprocess.py:93} INFO - Added amber-202001-0042
[2025-11-14T07:46:53.348+0000] {subprocess.py:93} INFO - Added amber-202001-0043
[2025-11-14T07:46:53.348+0000] {subprocess.py:93} INFO - Added amber-202001-0044
[2025-11-14T07:46:53.348+0000] {subprocess.py:93} INFO - Added amber-202001-0045
[2025-11-14T07:46:53.349+0000] {subprocess.py:93} INFO - Added amber-202001-0048
[2025-11-14T07:46:53.349+0000] {subprocess.py:93} INFO - Added amber-202001-0050
[2025-11-14T07:46:53.350+0000] {subprocess.py:93} INFO - Added amber-202001-0051
[2025-11-14T07:46:53.350+0000] {subprocess.py:93} INFO - Added amber-202001-0052
[2025-11-14T07:46:53.351+0000] {subprocess.py:93} INFO - Added amber-202001-0047
[2025-11-14T07:46:53.351+0000] {subprocess.py:93} INFO - Added amber-202001-0049
[2025-11-14T07:46:53.352+0000] {subprocess.py:93} INFO - Added amber-202001-0070
[2025-11-14T07:46:53.352+0000] {subprocess.py:93} INFO - Added amber-202001-0053
[2025-11-14T07:46:53.353+0000] {subprocess.py:93} INFO - Added amber-202001-0062
[2025-11-14T07:46:53.354+0000] {subprocess.py:93} INFO - Added amber-202001-0080
[2025-11-14T07:46:53.354+0000] {subprocess.py:93} INFO - Added amber-202001-0056
[2025-11-14T07:46:53.354+0000] {subprocess.py:93} INFO - Added amber-202001-0058
[2025-11-14T07:46:53.355+0000] {subprocess.py:93} INFO - Added amber-202001-0109
[2025-11-14T07:46:53.355+0000] {subprocess.py:93} INFO - Added amber-202001-0059
[2025-11-14T07:46:53.355+0000] {subprocess.py:93} INFO - Added amber-202001-0061
[2025-11-14T07:46:53.356+0000] {subprocess.py:93} INFO - Added amber-202001-0063
[2025-11-14T07:46:53.356+0000] {subprocess.py:93} INFO - Added amber-202001-0064
[2025-11-14T07:46:53.357+0000] {subprocess.py:93} INFO - Added amber-202001-0065
[2025-11-14T07:46:53.357+0000] {subprocess.py:93} INFO - Added amber-202001-0075
[2025-11-14T07:46:53.358+0000] {subprocess.py:93} INFO - Added amber-202001-0079
[2025-11-14T07:46:53.358+0000] {subprocess.py:93} INFO - Added amber-202001-0074
[2025-11-14T07:46:53.359+0000] {subprocess.py:93} INFO - Added amber-202001-0066
[2025-11-14T07:46:53.359+0000] {subprocess.py:93} INFO - Added amber-202001-0067
[2025-11-14T07:46:53.360+0000] {subprocess.py:93} INFO - Added amber-202001-0069
[2025-11-14T07:46:53.360+0000] {subprocess.py:93} INFO - Added amber-202001-0072
[2025-11-14T07:46:53.360+0000] {subprocess.py:93} INFO - Added amber-202001-0098
[2025-11-14T07:46:53.361+0000] {subprocess.py:93} INFO - Added amber-202001-0117
[2025-11-14T07:46:53.361+0000] {subprocess.py:93} INFO - Added amber-202001-0068
[2025-11-14T07:46:53.362+0000] {subprocess.py:93} INFO - Added amber-202001-0071
[2025-11-14T07:46:53.362+0000] {subprocess.py:93} INFO - Added amber-202001-0076
[2025-11-14T07:46:53.363+0000] {subprocess.py:93} INFO - Added amber-202001-0077
[2025-11-14T07:46:53.364+0000] {subprocess.py:93} INFO - Added amber-202001-0078
[2025-11-14T07:46:53.364+0000] {subprocess.py:93} INFO - Added amber-202001-0082
[2025-11-14T07:46:53.365+0000] {subprocess.py:93} INFO - Added amber-202001-0081
[2025-11-14T07:46:53.365+0000] {subprocess.py:93} INFO - Added amber-202001-0083
[2025-11-14T07:46:53.365+0000] {subprocess.py:93} INFO - Added amber-202001-0084
[2025-11-14T07:46:53.366+0000] {subprocess.py:93} INFO - Added amber-202001-0088
[2025-11-14T07:46:53.366+0000] {subprocess.py:93} INFO - Added amber-202001-0094
[2025-11-14T07:46:53.367+0000] {subprocess.py:93} INFO - Added amber-202001-0108
[2025-11-14T07:46:53.367+0000] {subprocess.py:93} INFO - Added amber-202001-0111
[2025-11-14T07:46:53.368+0000] {subprocess.py:93} INFO - Added amber-202001-0085
[2025-11-14T07:46:53.368+0000] {subprocess.py:93} INFO - Added amber-202001-0086
[2025-11-14T07:46:53.368+0000] {subprocess.py:93} INFO - Added amber-202001-0089
[2025-11-14T07:46:53.369+0000] {subprocess.py:93} INFO - Added amber-202001-0139
[2025-11-14T07:46:53.370+0000] {subprocess.py:93} INFO - Added amber-202001-0140
[2025-11-14T07:46:53.370+0000] {subprocess.py:93} INFO - Added amber-202001-0087
[2025-11-14T07:46:53.371+0000] {subprocess.py:93} INFO - Added amber-202001-0097
[2025-11-14T07:46:53.371+0000] {subprocess.py:93} INFO - Added amber-202001-0090
[2025-11-14T07:46:53.372+0000] {subprocess.py:93} INFO - Added amber-202001-0091
[2025-11-14T07:46:53.372+0000] {subprocess.py:93} INFO - Added amber-202001-0092
[2025-11-14T07:46:53.373+0000] {subprocess.py:93} INFO - Added amber-202001-0093
[2025-11-14T07:46:53.373+0000] {subprocess.py:93} INFO - Added amber-202001-0095
[2025-11-14T07:46:53.373+0000] {subprocess.py:93} INFO - Added amber-202001-0096
[2025-11-14T07:46:53.374+0000] {subprocess.py:93} INFO - Added amber-202001-0099
[2025-11-14T07:46:53.374+0000] {subprocess.py:93} INFO - Added amber-202001-0107
[2025-11-14T07:46:53.375+0000] {subprocess.py:93} INFO - Added amber-202001-0112
[2025-11-14T07:46:53.375+0000] {subprocess.py:93} INFO - Added amber-202001-0100
[2025-11-14T07:46:53.376+0000] {subprocess.py:93} INFO - Added amber-202001-0114
[2025-11-14T07:46:53.376+0000] {subprocess.py:93} INFO - Added amber-202001-0101
[2025-11-14T07:46:53.377+0000] {subprocess.py:93} INFO - Added amber-202001-0102
[2025-11-14T07:46:53.377+0000] {subprocess.py:93} INFO - Added amber-202001-0103
[2025-11-14T07:46:53.378+0000] {subprocess.py:93} INFO - Added amber-202001-0104
[2025-11-14T07:46:53.378+0000] {subprocess.py:93} INFO - Added amber-202001-0105
[2025-11-14T07:46:53.379+0000] {subprocess.py:93} INFO - Added amber-202001-0106
[2025-11-14T07:46:53.379+0000] {subprocess.py:93} INFO - Added amber-202001-0110
[2025-11-14T07:46:53.380+0000] {subprocess.py:93} INFO - Added amber-202001-0124
[2025-11-14T07:46:53.380+0000] {subprocess.py:93} INFO - Added amber-202001-0125
[2025-11-14T07:46:53.380+0000] {subprocess.py:93} INFO - Added amber-202001-0126
[2025-11-14T07:46:53.381+0000] {subprocess.py:93} INFO - Added amber-202001-0113
[2025-11-14T07:46:53.381+0000] {subprocess.py:93} INFO - Added amber-202001-0119
[2025-11-14T07:46:53.382+0000] {subprocess.py:93} INFO - Added amber-202001-0115
[2025-11-14T07:46:53.382+0000] {subprocess.py:93} INFO - Added amber-202001-0116
[2025-11-14T07:46:53.383+0000] {subprocess.py:93} INFO - Added amber-202001-0120
[2025-11-14T07:46:53.383+0000] {subprocess.py:93} INFO - Added amber-202001-0118
[2025-11-14T07:46:53.384+0000] {subprocess.py:93} INFO - Added amber-202001-0121
[2025-11-14T07:46:53.384+0000] {subprocess.py:93} INFO - Added amber-202001-0122
[2025-11-14T07:46:53.385+0000] {subprocess.py:93} INFO - Added amber-202001-0123
[2025-11-14T07:46:53.385+0000] {subprocess.py:93} INFO - Added amber-202001-0143
[2025-11-14T07:46:53.386+0000] {subprocess.py:93} INFO - Added amber-202001-0144
[2025-11-14T07:46:53.386+0000] {subprocess.py:93} INFO - Added amber-202001-0154
[2025-11-14T07:46:53.387+0000] {subprocess.py:93} INFO - Added amber-202001-0155
[2025-11-14T07:46:53.387+0000] {subprocess.py:93} INFO - Added amber-202001-0127
[2025-11-14T07:46:53.387+0000] {subprocess.py:93} INFO - Added amber-202001-0128
[2025-11-14T07:46:53.388+0000] {subprocess.py:93} INFO - Added amber-202001-0129
[2025-11-14T07:46:53.388+0000] {subprocess.py:93} INFO - Added amber-202001-0137
[2025-11-14T07:46:53.389+0000] {subprocess.py:93} INFO - Added amber-202001-0138
