[2025-11-14T05:53:52.815+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-14T05:54:24.217+0000] {subprocess.py:93} INFO - Added amber-202001-0031
[2025-11-14T05:54:24.217+0000] {subprocess.py:93} INFO - Added amber-202001-0034
[2025-11-14T05:54:24.217+0000] {subprocess.py:93} INFO - Added amber-202001-0032
[2025-11-14T05:54:24.218+0000] {subprocess.py:93} INFO - Added amber-202001-0036
[2025-11-14T05:54:24.218+0000] {subprocess.py:93} INFO - Added amber-202001-0040
[2025-11-14T05:54:24.218+0000] {subprocess.py:93} INFO - Added amber-202001-0037
[2025-11-14T05:54:24.218+0000] {subprocess.py:93} INFO - Added amber-202001-0038
[2025-11-14T05:54:24.219+0000] {subprocess.py:93} INFO - Added amber-202001-0039
[2025-11-14T05:54:24.219+0000] {subprocess.py:93} INFO - Added amber-202001-0046
[2025-11-14T05:54:24.219+0000] {subprocess.py:93} INFO - Added amber-202001-0041
[2025-11-14T05:54:24.220+0000] {subprocess.py:93} INFO - Added amber-202001-0042
[2025-11-14T05:54:24.220+0000] {subprocess.py:93} INFO - Added amber-202001-0043
[2025-11-14T05:54:24.221+0000] {subprocess.py:93} INFO - Added amber-202001-0044
[2025-11-14T05:54:24.221+0000] {subprocess.py:93} INFO - Added amber-202001-0045
[2025-11-14T05:54:24.221+0000] {subprocess.py:93} INFO - Added amber-202001-0048
[2025-11-14T05:54:24.221+0000] {subprocess.py:93} INFO - Added amber-202001-0050
[2025-11-14T05:54:24.222+0000] {subprocess.py:93} INFO - Added amber-202001-0051
[2025-11-14T05:54:24.222+0000] {subprocess.py:93} INFO - Added amber-202001-0052
[2025-11-14T05:54:24.222+0000] {subprocess.py:93} INFO - Added amber-202001-0047
[2025-11-14T05:54:24.223+0000] {subprocess.py:93} INFO - Added amber-202001-0049
[2025-11-14T05:54:24.223+0000] {subprocess.py:93} INFO - Added amber-202001-0070
[2025-11-14T05:54:24.223+0000] {subprocess.py:93} INFO - Added amber-202001-0053
[2025-11-14T05:54:24.223+0000] {subprocess.py:93} INFO - Added amber-202001-0062
[2025-11-14T05:54:24.224+0000] {subprocess.py:93} INFO - Added amber-202001-0080
[2025-11-14T05:54:24.224+0000] {subprocess.py:93} INFO - Added amber-202001-0056
[2025-11-14T05:54:24.224+0000] {subprocess.py:93} INFO - Added amber-202001-0058
[2025-11-14T05:54:24.224+0000] {subprocess.py:93} INFO - Added amber-202001-0109
[2025-11-14T05:54:24.225+0000] {subprocess.py:93} INFO - Added amber-202001-0059
[2025-11-14T05:54:24.225+0000] {subprocess.py:93} INFO - Added amber-202001-0061
[2025-11-14T05:54:24.226+0000] {subprocess.py:93} INFO - Added amber-202001-0063
[2025-11-14T05:54:24.227+0000] {subprocess.py:93} INFO - Added amber-202001-0064
[2025-11-14T05:54:24.228+0000] {subprocess.py:93} INFO - Added amber-202001-0065
[2025-11-14T05:54:24.228+0000] {subprocess.py:93} INFO - Added amber-202001-0075
[2025-11-14T05:54:24.229+0000] {subprocess.py:93} INFO - Added amber-202001-0079
[2025-11-14T05:54:24.229+0000] {subprocess.py:93} INFO - Added amber-202001-0074
[2025-11-14T05:54:24.230+0000] {subprocess.py:93} INFO - Added amber-202001-0066
[2025-11-14T05:54:24.230+0000] {subprocess.py:93} INFO - Added amber-202001-0067
[2025-11-14T05:54:24.230+0000] {subprocess.py:93} INFO - Added amber-202001-0069
[2025-11-14T05:54:24.231+0000] {subprocess.py:93} INFO - Added amber-202001-0072
[2025-11-14T05:54:24.231+0000] {subprocess.py:93} INFO - Added amber-202001-0098
[2025-11-14T05:54:24.231+0000] {subprocess.py:93} INFO - Added amber-202001-0117
[2025-11-14T05:54:24.232+0000] {subprocess.py:93} INFO - Added amber-202001-0068
[2025-11-14T05:54:24.232+0000] {subprocess.py:93} INFO - Added amber-202001-0071
[2025-11-14T05:54:24.233+0000] {subprocess.py:93} INFO - Added amber-202001-0076
[2025-11-14T05:54:24.233+0000] {subprocess.py:93} INFO - Added amber-202001-0077
[2025-11-14T05:54:24.233+0000] {subprocess.py:93} INFO - Added amber-202001-0078
[2025-11-14T05:54:24.234+0000] {subprocess.py:93} INFO - Added amber-202001-0082
[2025-11-14T05:54:24.234+0000] {subprocess.py:93} INFO - Added amber-202001-0081
[2025-11-14T05:54:24.235+0000] {subprocess.py:93} INFO - Added amber-202001-0083
[2025-11-14T05:54:24.235+0000] {subprocess.py:93} INFO - Added amber-202001-0084
[2025-11-14T05:54:24.236+0000] {subprocess.py:93} INFO - Added amber-202001-0088
[2025-11-14T05:54:24.236+0000] {subprocess.py:93} INFO - Added amber-202001-0094
[2025-11-14T05:54:24.237+0000] {subprocess.py:93} INFO - Added amber-202001-0108
[2025-11-14T05:54:24.237+0000] {subprocess.py:93} INFO - Added amber-202001-0111
[2025-11-14T05:54:24.238+0000] {subprocess.py:93} INFO - Added amber-202001-0085
[2025-11-14T05:54:24.238+0000] {subprocess.py:93} INFO - Added amber-202001-0086
[2025-11-14T05:54:24.252+0000] {subprocess.py:93} INFO - Added amber-202001-0089
[2025-11-14T05:54:24.252+0000] {subprocess.py:93} INFO - Added amber-202001-0139
[2025-11-14T05:54:24.253+0000] {subprocess.py:93} INFO - Added amber-202001-0140
[2025-11-14T05:54:24.254+0000] {subprocess.py:93} INFO - Added amber-202001-0087
[2025-11-14T05:54:24.255+0000] {subprocess.py:93} INFO - Added amber-202001-0097
[2025-11-14T05:54:24.256+0000] {subprocess.py:93} INFO - Added amber-202001-0090
[2025-11-14T05:54:24.256+0000] {subprocess.py:93} INFO - Added amber-202001-0091
[2025-11-14T05:54:24.257+0000] {subprocess.py:93} INFO - Added amber-202001-0092
[2025-11-14T05:54:24.258+0000] {subprocess.py:93} INFO - Added amber-202001-0093
[2025-11-14T05:54:24.259+0000] {subprocess.py:93} INFO - Added amber-202001-0095
[2025-11-14T05:54:24.259+0000] {subprocess.py:93} INFO - Added amber-202001-0096
[2025-11-14T05:54:24.260+0000] {subprocess.py:93} INFO - Added amber-202001-0099
[2025-11-14T05:54:24.260+0000] {subprocess.py:93} INFO - Added amber-202001-0107
[2025-11-14T05:54:24.261+0000] {subprocess.py:93} INFO - Added amber-202001-0112
[2025-11-14T05:54:24.262+0000] {subprocess.py:93} INFO - Added amber-202001-0100
[2025-11-14T05:54:24.262+0000] {subprocess.py:93} INFO - Added amber-202001-0114
[2025-11-14T05:54:24.263+0000] {subprocess.py:93} INFO - Added amber-202001-0101
[2025-11-14T05:54:24.263+0000] {subprocess.py:93} INFO - Added amber-202001-0102
