[2025-11-13T06:09:34.329+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-13T06:10:06.461+0000] {subprocess.py:93} INFO - Added amber-202001-0031
[2025-11-13T06:10:06.461+0000] {subprocess.py:93} INFO - Added amber-202001-0034
[2025-11-13T06:10:06.462+0000] {subprocess.py:93} INFO - Added amber-202001-0032
[2025-11-13T06:10:06.462+0000] {subprocess.py:93} INFO - Added amber-202001-0036
[2025-11-13T06:10:06.462+0000] {subprocess.py:93} INFO - Added amber-202001-0040
[2025-11-13T06:10:06.463+0000] {subprocess.py:93} INFO - Added amber-202001-0037
[2025-11-13T06:10:06.463+0000] {subprocess.py:93} INFO - Added amber-202001-0038
[2025-11-13T06:10:06.463+0000] {subprocess.py:93} INFO - Added amber-202001-0039
[2025-11-13T06:10:06.464+0000] {subprocess.py:93} INFO - Added amber-202001-0046
[2025-11-13T06:10:06.464+0000] {subprocess.py:93} INFO - Added amber-202001-0041
[2025-11-13T06:10:06.464+0000] {subprocess.py:93} INFO - Added amber-202001-0042
[2025-11-13T06:10:06.464+0000] {subprocess.py:93} INFO - Added amber-202001-0043
[2025-11-13T06:10:06.464+0000] {subprocess.py:93} INFO - Added amber-202001-0044
[2025-11-13T06:10:06.465+0000] {subprocess.py:93} INFO - Added amber-202001-0045
[2025-11-13T06:10:06.465+0000] {subprocess.py:93} INFO - Added amber-202001-0048
[2025-11-13T06:10:06.465+0000] {subprocess.py:93} INFO - Added amber-202001-0050
[2025-11-13T06:10:06.465+0000] {subprocess.py:93} INFO - Added amber-202001-0051
[2025-11-13T06:10:06.466+0000] {subprocess.py:93} INFO - Added amber-202001-0052
[2025-11-13T06:10:06.466+0000] {subprocess.py:93} INFO - Added amber-202001-0047
[2025-11-13T06:10:06.466+0000] {subprocess.py:93} INFO - Added amber-202001-0049
[2025-11-13T06:10:06.466+0000] {subprocess.py:93} INFO - Added amber-202001-0070
[2025-11-13T06:10:06.466+0000] {subprocess.py:93} INFO - Added amber-202001-0053
[2025-11-13T06:10:06.467+0000] {subprocess.py:93} INFO - Added amber-202001-0062
[2025-11-13T06:10:06.467+0000] {subprocess.py:93} INFO - Added amber-202001-0080
[2025-11-13T06:10:06.467+0000] {subprocess.py:93} INFO - Added amber-202001-0056
[2025-11-13T06:10:06.467+0000] {subprocess.py:93} INFO - Added amber-202001-0058
[2025-11-13T06:10:06.467+0000] {subprocess.py:93} INFO - Added amber-202001-0109
[2025-11-13T06:10:06.467+0000] {subprocess.py:93} INFO - Added amber-202001-0059
[2025-11-13T06:10:06.468+0000] {subprocess.py:93} INFO - Added amber-202001-0061
[2025-11-13T06:10:06.468+0000] {subprocess.py:93} INFO - Added amber-202001-0063
[2025-11-13T06:10:06.468+0000] {subprocess.py:93} INFO - Added amber-202001-0064
[2025-11-13T06:10:06.469+0000] {subprocess.py:93} INFO - Added amber-202001-0065
[2025-11-13T06:10:06.469+0000] {subprocess.py:93} INFO - Added amber-202001-0075
[2025-11-13T06:10:06.470+0000] {subprocess.py:93} INFO - Added amber-202001-0079
[2025-11-13T06:10:06.470+0000] {subprocess.py:93} INFO - Added amber-202001-0074
[2025-11-13T06:10:06.471+0000] {subprocess.py:93} INFO - Added amber-202001-0066
[2025-11-13T06:10:06.471+0000] {subprocess.py:93} INFO - Added amber-202001-0067
[2025-11-13T06:10:06.471+0000] {subprocess.py:93} INFO - Added amber-202001-0069
